Artist,Song
The Beatles,A Day In The Life
STRFKR,Never Ever
Portugal The Man,Live In The Moment
Radiator Hospital,I'm All Right
The Growlers,Pet Shop Eyes
Etta James,A Sunday Kind Of Love
Screaming Females,Wishing Well
Eagle Daddy,Don't Look At Me
Chastity Belt,What The Hell
David Bowie,Starman
Toothless,The Sun's Midlife Crisis
KAYTRANADA,YOU'RE THE ONE
L.A. Witch,Kill My Baby Tonight
Rita Fishbone,Stubborn
Paramore,That's What You Get
Amy Winehouse,Valerie ['68 Version]
Manchester Orchestra,The Alien
Blondie,Heart Of Glass
The Beatles,Lucy In The Sky With Diamonds
Broken Social Scene,Halfway Home
Alvvays,Dreams Tonite
Emily Haines And The Soft Skeleton,Legend Of The Wild Horse
The Raconteurs,"Steady, As She Goes"
Arctic Monkeys,R U Mine?
Vampire Weekend,Cousins
Bombay Bicycle Club,How Can You Swallow So Much Sl
Radiohead,15 Steps
Oh Wonder,Ultralife
The XX,Crystalised
Broods,Pretty Thing
Odesza,Late Night
Kimbra,Goldmine
Adult Mom,Ephemeralness
